Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.5,700.0,5.0,4.2,6.2,0.63,293.9,640.0,5.1,18000.0,44.0,,,-0.87988895,0.4055585,-0.017228259,-0.83563626,0.32120943,-0.03213006,-0.39653394,0.45246485,0.49482492,-0.2855964
0.5,700.0,7.5,4.2,6.6,0.56,252.4,640.0,5.3,18000.0,53.0,,,-1.1405846,0.5459996,0.6813883,-1.2784837,0.974996,0.32788685,-0.43763033,0.40380305,0.2852389,-0.5777133
0.5,700.0,10.0,4.2,6.2,0.62,290.2,690.0,5.4,18000.0,53.0,,,-1.1677947,0.31226593,0.4758751,-1.0702025,0.09443707,-0.43190545,-1.0646802,0.47732735,0.5954877,-0.6275746
0.5,800.0,4.17,10.0,12.0,0.37,59.0,910.0,8.0,120000.0,83.333,88.113,0.738,0.39862904,1.3951191,-0.20175235,0.1482004,0.8277795,-0.21439894,0.45238632,-0.20436475,0.62899995,0.413755
0.3,750.0,3.95,30.0,11.6,0.73,227.9,750.0,4.2,60000.0,58.7,70.56,0.8,-0.8933667,0.7503677,-1.4921725,-0.6333496,0.19095421,0.7171618,-0.8713313,0.058365572,-0.32401648,0.22928269
0.3,750.0,3.95,10.0,11.6,0.73,227.9,750.0,4.2,60000.0,74.637,82.22,0.84,-0.8933667,0.7503677,-1.4921725,-0.6333496,0.19095421,0.7171618,-0.8713313,0.058365572,-0.32401648,0.22928269
0.3,750.0,3.95,40.0,11.6,0.73,227.9,750.0,4.2,60000.0,56.0,68.89,0.685,-0.8933667,0.7503677,-1.4921725,-0.6333496,0.19095421,0.7171618,-0.8713313,0.058365572,-0.32401648,0.22928269
0.3,750.0,3.95,20.0,11.6,0.73,227.9,750.0,4.2,60000.0,62.0,75.56,0.77,-0.8933667,0.7503677,-1.4921725,-0.6333496,0.19095421,0.7171618,-0.8713313,0.058365572,-0.32401648,0.22928269
0.5,800.0,4.61,10.0,16.0,0.58,78.0,640.0,7.0,120000.0,83.333,91.5,0.654,0.7512972,1.418409,0.14067876,0.24768172,0.64149904,0.014976909,0.4621162,0.3025645,0.25467452,0.27608263
0.5,800.0,4.44,9.0,16.0,0.6,76.0,900.0,7.0,120000.0,83.333,92.25,0.622,0.56042516,1.3813665,0.13479869,0.020525608,0.62700576,0.036769427,0.41929585,-0.053826112,0.2276787,-0.043644432
